store_id,date,quantity
CA_1,2011-01-29,42
CA_1,2011-01-30,36
CA_1,2011-01-31,30
CA_1,2011-02-01,23
CA_1,2011-02-02,27
CA_1,2011-02-03,34
CA_1,2011-02-04,30
CA_1,2011-02-05,59
CA_1,2011-02-06,54
CA_1,2011-02-07,37
CA_1,2011-02-08,22
CA_1,2011-02-09,38
CA_1,2011-02-10,33
CA_1,2011-02-11,38
CA_1,2011-02-12,55
CA_1,2011-02-13,58
CA_1,2011-02-14,43
CA_1,2011-02-15,24
CA_1,2011-02-16,33
CA_1,2011-02-17,31
CA_1,2011-02-18,33
CA_1,2011-02-19,68
CA_1,2011-02-20,57
CA_1,2011-02-21,33
CA_1,2011-02-22,30
CA_1,2011-02-23,31
CA_1,2011-02-24,25
CA_1,2011-02-25,42
CA_1,2011-02-26,43
CA_1,2011-02-27,58
CA_1,2011-02-28,31
CA_1,2011-03-01,28
CA_1,2011-03-02,37
CA_1,2011-03-03,37
CA_1,2011-03-04,38
CA_1,2011-03-05,62
CA_1,2011-03-06,41
CA_1,2011-03-07,29
CA_1,2011-03-08,30
CA_1,2011-03-09,36
CA_1,2011-03-10,32
CA_1,2011-03-11,56
CA_1,2011-03-12,41
CA_1,2011-03-13,51
CA_1,2011-03-14,32
CA_1,2011-03-15,30
CA_1,2011-03-16,18
CA_1,2011-03-17,35
CA_1,2011-03-18,26
CA_1,2011-03-19,47
CA_1,2011-03-20,67
CA_1,2011-03-21,27
CA_1,2011-03-22,28
CA_1,2011-03-23,32
CA_1,2011-03-24,28
CA_1,2011-03-25,42
CA_1,2011-03-26,47
CA_1,2011-03-27,58
CA_1,2011-03-28,30
CA_1,2011-03-29,29
CA_1,2011-03-30,27
CA_1,2011-03-31,47
CA_1,2011-04-01,43
CA_1,2011-04-02,58
CA_1,2011-04-03,73
CA_1,2011-04-04,55
CA_1,2011-04-05,28
CA_1,2011-04-06,25
CA_1,2011-04-07,30
CA_1,2011-04-08,36
CA_1,2011-04-09,60
CA_1,2011-04-10,66
CA_1,2011-04-11,36
CA_1,2011-04-12,46
CA_1,2011-04-13,20
CA_1,2011-04-14,28
CA_1,2011-04-15,37
CA_1,2011-04-16,57
CA_1,2011-04-17,69
CA_1,2011-04-18,42
CA_1,2011-04-19,29
CA_1,2011-04-20,37
CA_1,2011-04-21,30
CA_1,2011-04-22,52
CA_1,2011-04-23,49
CA_1,2011-04-24,64
CA_1,2011-04-25,29
CA_1,2011-04-26,24
CA_1,2011-04-27,29
CA_1,2011-04-28,31
CA_1,2011-04-29,37
CA_1,2011-04-30,64
CA_1,2011-05-01,60
CA_1,2011-05-02,44
CA_1,2011-05-03,39
CA_1,2011-05-04,50
CA_1,2011-05-05,52
CA_1,2011-05-06,45
CA_1,2011-05-07,61
CA_1,2011-05-08,54
CA_1,2011-05-09,36
CA_1,2011-05-10,19
CA_1,2011-05-11,28
CA_1,2011-05-12,34
CA_1,2011-05-13,62
CA_1,2011-05-14,51
CA_1,2011-05-15,68
CA_1,2011-05-16,33
CA_1,2011-05-17,29
CA_1,2011-05-18,26
CA_1,2011-05-19,38
CA_1,2011-05-20,41
CA_1,2011-05-21,54
CA_1,2011-05-22,52
CA_1,2011-05-23,42
CA_1,2011-05-24,24
CA_1,2011-05-25,26
CA_1,2011-05-26,35
CA_1,2011-05-27,58
CA_1,2011-05-28,43
CA_1,2011-05-29,55
CA_1,2011-05-30,48
CA_1,2011-05-31,39
CA_1,2011-06-01,34
CA_1,2011-06-02,46
CA_1,2011-06-03,45
CA_1,2011-06-04,58
CA_1,2011-06-05,57
CA_1,2011-06-06,55
CA_1,2011-06-07,41
CA_1,2011-06-08,36
CA_1,2011-06-09,38
CA_1,2011-06-10,48
CA_1,2011-06-11,57
CA_1,2011-06-12,59
CA_1,2011-06-13,53
CA_1,2011-06-14,46
CA_1,2011-06-15,53
CA_1,2011-06-16,36
CA_1,2011-06-17,43
CA_1,2011-06-18,73
CA_1,2011-06-19,77
CA_1,2011-06-20,41
CA_1,2011-06-21,34
CA_1,2011-06-22,41
CA_1,2011-06-23,37
CA_1,2011-06-24,47
CA_1,2011-06-25,45
CA_1,2011-06-26,63
CA_1,2011-06-27,34
CA_1,2011-06-28,32
CA_1,2011-06-29,36
CA_1,2011-06-30,43
CA_1,2011-07-01,70
CA_1,2011-07-02,81
CA_1,2011-07-03,94
CA_1,2011-07-04,64
CA_1,2011-07-05,48
CA_1,2011-07-06,51
CA_1,2011-07-07,56
CA_1,2011-07-08,43
CA_1,2011-07-09,71
CA_1,2011-07-10,67
CA_1,2011-07-11,39
CA_1,2011-07-12,37
CA_1,2011-07-13,46
CA_1,2011-07-14,30
CA_1,2011-07-15,54
CA_1,2011-07-16,58
CA_1,2011-07-17,77
CA_1,2011-07-18,46
CA_1,2011-07-19,36
CA_1,2011-07-20,29
CA_1,2011-07-21,34
CA_1,2011-07-22,50
CA_1,2011-07-23,51
CA_1,2011-07-24,77
CA_1,2011-07-25,43
CA_1,2011-07-26,34
CA_1,2011-07-27,40
CA_1,2011-07-28,39
CA_1,2011-07-29,40
CA_1,2011-07-30,56
CA_1,2011-07-31,69
CA_1,2011-08-01,65
CA_1,2011-08-02,44
CA_1,2011-08-03,42
CA_1,2011-08-04,34
CA_1,2011-08-05,58
CA_1,2011-08-06,66
CA_1,2011-08-07,79
CA_1,2011-08-08,54
CA_1,2011-08-09,52
CA_1,2011-08-10,54
CA_1,2011-08-11,41
CA_1,2011-08-12,54
CA_1,2011-08-13,70
CA_1,2011-08-14,94
CA_1,2011-08-15,55
CA_1,2011-08-16,52
CA_1,2011-08-17,32
CA_1,2011-08-18,39
CA_1,2011-08-19,57
CA_1,2011-08-20,70
CA_1,2011-08-21,98
CA_1,2011-08-22,37
CA_1,2011-08-23,43
CA_1,2011-08-24,17
CA_1,2011-08-25,40
CA_1,2011-08-26,34
CA_1,2011-08-27,58
CA_1,2011-08-28,59
CA_1,2011-08-29,31
CA_1,2011-08-30,30
CA_1,2011-08-31,32
CA_1,2011-09-01,46
CA_1,2011-09-02,44
CA_1,2011-09-03,53
CA_1,2011-09-04,65
CA_1,2011-09-05,57
CA_1,2011-09-06,59
CA_1,2011-09-07,45
CA_1,2011-09-08,39
CA_1,2011-09-09,61
CA_1,2011-09-10,56
CA_1,2011-09-11,101
CA_1,2011-09-12,34
CA_1,2011-09-13,37
CA_1,2011-09-14,43
CA_1,2011-09-15,36
CA_1,2011-09-16,48
CA_1,2011-09-17,56
CA_1,2011-09-18,58
CA_1,2011-09-19,38
CA_1,2011-09-20,43
CA_1,2011-09-21,40
CA_1,2011-09-22,23
CA_1,2011-09-23,42
CA_1,2011-09-24,45
CA_1,2011-09-25,68
CA_1,2011-09-26,42
CA_1,2011-09-27,29
CA_1,2011-09-28,33
CA_1,2011-09-29,32
CA_1,2011-09-30,46
CA_1,2011-10-01,69
CA_1,2011-10-02,74
CA_1,2011-10-03,42
CA_1,2011-10-04,37
CA_1,2011-10-05,41
CA_1,2011-10-06,54
CA_1,2011-10-07,54
CA_1,2011-10-08,60
CA_1,2011-10-09,84
CA_1,2011-10-10,45
CA_1,2011-10-11,56
CA_1,2011-10-12,36
CA_1,2011-10-13,50
CA_1,2011-10-14,49
CA_1,2011-10-15,63
CA_1,2011-10-16,69
CA_1,2011-10-17,36
CA_1,2011-10-18,32
CA_1,2011-10-19,30
CA_1,2011-10-20,38
CA_1,2011-10-21,38
CA_1,2011-10-22,52
CA_1,2011-10-23,74
CA_1,2011-10-24,52
CA_1,2011-10-25,43
CA_1,2011-10-26,37
CA_1,2011-10-27,33
CA_1,2011-10-28,50
CA_1,2011-10-29,72
CA_1,2011-10-30,99
CA_1,2011-10-31,39
CA_1,2011-11-01,41
CA_1,2011-11-02,49
CA_1,2011-11-03,25
CA_1,2011-11-04,51
CA_1,2011-11-05,69
CA_1,2011-11-06,98
CA_1,2011-11-07,50
CA_1,2011-11-08,48
CA_1,2011-11-09,57
CA_1,2011-11-10,59
CA_1,2011-11-11,58
CA_1,2011-11-12,64
CA_1,2011-11-13,70
CA_1,2011-11-14,50
CA_1,2011-11-15,24
CA_1,2011-11-16,41
CA_1,2011-11-17,29
CA_1,2011-11-18,52
CA_1,2011-11-19,55
CA_1,2011-11-20,72
CA_1,2011-11-21,57
CA_1,2011-11-22,46
CA_1,2011-11-23,48
CA_1,2011-11-24,85
CA_1,2011-11-25,133
CA_1,2011-11-26,62
CA_1,2011-11-27,54
CA_1,2011-11-28,38
CA_1,2011-11-29,24
CA_1,2011-11-30,32
CA_1,2011-12-01,44
CA_1,2011-12-02,71
CA_1,2011-12-03,87
CA_1,2011-12-04,81
CA_1,2011-12-05,59
CA_1,2011-12-06,30
CA_1,2011-12-07,45
CA_1,2011-12-08,53
CA_1,2011-12-09,47
CA_1,2011-12-10,78
CA_1,2011-12-11,105
CA_1,2011-12-12,51
CA_1,2011-12-13,47
CA_1,2011-12-14,46
CA_1,2011-12-15,47
CA_1,2011-12-16,51
CA_1,2011-12-17,97
CA_1,2011-12-18,101
CA_1,2011-12-19,68
CA_1,2011-12-20,64
CA_1,2011-12-21,70
CA_1,2011-12-22,79
CA_1,2011-12-23,118
CA_1,2011-12-24,73
CA_1,2011-12-25,0
CA_1,2011-12-26,58
CA_1,2011-12-27,36
CA_1,2011-12-28,42
CA_1,2011-12-29,35
CA_1,2011-12-30,47
CA_1,2011-12-31,53
CA_1,2012-01-01,45
CA_1,2012-01-02,51
CA_1,2012-01-03,40
CA_1,2012-01-04,37
CA_1,2012-01-05,57
CA_1,2012-01-06,42
CA_1,2012-01-07,64
CA_1,2012-01-08,58
CA_1,2012-01-09,25
CA_1,2012-01-10,32
CA_1,2012-01-11,39
CA_1,2012-01-12,38
CA_1,2012-01-13,35
CA_1,2012-01-14,59
CA_1,2012-01-15,61
CA_1,2012-01-16,38
CA_1,2012-01-17,40
CA_1,2012-01-18,32
CA_1,2012-01-19,21
CA_1,2012-01-20,41
CA_1,2012-01-21,61
CA_1,2012-01-22,53
CA_1,2012-01-23,24
CA_1,2012-01-24,28
CA_1,2012-01-25,21
CA_1,2012-01-26,31
CA_1,2012-01-27,37
CA_1,2012-01-28,53
CA_1,2012-01-29,46
CA_1,2012-01-30,30
CA_1,2012-01-31,22
CA_1,2012-02-01,36
CA_1,2012-02-02,46
CA_1,2012-02-03,42
CA_1,2012-02-04,74
CA_1,2012-02-05,61
CA_1,2012-02-06,49
CA_1,2012-02-07,31
CA_1,2012-02-08,51
CA_1,2012-02-09,48
CA_1,2012-02-10,52
CA_1,2012-02-11,82
CA_1,2012-02-12,70
CA_1,2012-02-13,49
CA_1,2012-02-14,41
CA_1,2012-02-15,10
CA_1,2012-02-16,0
CA_1,2012-02-17,0
CA_1,2012-02-18,52
CA_1,2012-02-19,75
CA_1,2012-02-20,31
CA_1,2012-02-21,30
CA_1,2012-02-22,49
CA_1,2012-02-23,37
CA_1,2012-02-24,44
CA_1,2012-02-25,37
CA_1,2012-02-26,78
CA_1,2012-02-27,36
CA_1,2012-02-28,16
CA_1,2012-02-29,26
CA_1,2012-03-01,17
CA_1,2012-03-02,44
CA_1,2012-03-03,64
CA_1,2012-03-04,75
CA_1,2012-03-05,59
CA_1,2012-03-06,39
CA_1,2012-03-07,33
CA_1,2012-03-08,33
CA_1,2012-03-09,55
CA_1,2012-03-10,53
CA_1,2012-03-11,65
CA_1,2012-03-12,38
CA_1,2012-03-13,24
CA_1,2012-03-14,40
CA_1,2012-03-15,45
CA_1,2012-03-16,49
CA_1,2012-03-17,49
CA_1,2012-03-18,53
CA_1,2012-03-19,41
CA_1,2012-03-20,44
CA_1,2012-03-21,26
CA_1,2012-03-22,27
CA_1,2012-03-23,54
CA_1,2012-03-24,76
CA_1,2012-03-25,71
CA_1,2012-03-26,40
CA_1,2012-03-27,34
CA_1,2012-03-28,26
CA_1,2012-03-29,44
CA_1,2012-03-30,57
CA_1,2012-03-31,60
CA_1,2012-04-01,63
CA_1,2012-04-02,52
CA_1,2012-04-03,54
CA_1,2012-04-04,56
CA_1,2012-04-05,39
CA_1,2012-04-06,77
CA_1,2012-04-07,111
CA_1,2012-04-08,78
CA_1,2012-04-09,48
CA_1,2012-04-10,49
CA_1,2012-04-11,36
CA_1,2012-04-12,35
CA_1,2012-04-13,49
CA_1,2012-04-14,65
CA_1,2012-04-15,74
CA_1,2012-04-16,39
CA_1,2012-04-17,48
CA_1,2012-04-18,38
CA_1,2012-04-19,42
CA_1,2012-04-20,60
CA_1,2012-04-21,73
CA_1,2012-04-22,54
CA_1,2012-04-23,32
CA_1,2012-04-24,44
CA_1,2012-04-25,30
CA_1,2012-04-26,52
CA_1,2012-04-27,33
CA_1,2012-04-28,57
CA_1,2012-04-29,78
CA_1,2012-04-30,27
CA_1,2012-05-01,33
CA_1,2012-05-02,30
CA_1,2012-05-03,48
CA_1,2012-05-04,46
CA_1,2012-05-05,78
CA_1,2012-05-06,87
CA_1,2012-05-07,54
CA_1,2012-05-08,44
CA_1,2012-05-09,48
CA_1,2012-05-10,58
CA_1,2012-05-11,55
CA_1,2012-05-12,71
CA_1,2012-05-13,58
CA_1,2012-05-14,53
CA_1,2012-05-15,42
CA_1,2012-05-16,55
CA_1,2012-05-17,30
CA_1,2012-05-18,56
CA_1,2012-05-19,80
CA_1,2012-05-20,80
CA_1,2012-05-21,52
CA_1,2012-05-22,23
CA_1,2012-05-23,29
CA_1,2012-05-24,47
CA_1,2012-05-25,47
CA_1,2012-05-26,42
CA_1,2012-05-27,57
CA_1,2012-05-28,68
CA_1,2012-05-29,37
CA_1,2012-05-30,46
CA_1,2012-05-31,41
CA_1,2012-06-01,64
CA_1,2012-06-02,77
CA_1,2012-06-03,95
CA_1,2012-06-04,46
CA_1,2012-06-05,28
CA_1,2012-06-06,33
CA_1,2012-06-07,56
CA_1,2012-06-08,57
CA_1,2012-06-09,63
CA_1,2012-06-10,85
CA_1,2012-06-11,40
CA_1,2012-06-12,51
CA_1,2012-06-13,35
CA_1,2012-06-14,43
CA_1,2012-06-15,56
CA_1,2012-06-16,70
CA_1,2012-06-17,54
CA_1,2012-06-18,33
CA_1,2012-06-19,38
CA_1,2012-06-20,37
CA_1,2012-06-21,35
CA_1,2012-06-22,55
CA_1,2012-06-23,48
CA_1,2012-06-24,64
CA_1,2012-06-25,26
CA_1,2012-06-26,37
CA_1,2012-06-27,33
CA_1,2012-06-28,29
CA_1,2012-06-29,36
CA_1,2012-06-30,57
CA_1,2012-07-01,70
CA_1,2012-07-02,40
CA_1,2012-07-03,48
CA_1,2012-07-04,52
CA_1,2012-07-05,51
CA_1,2012-07-06,50
CA_1,2012-07-07,58
CA_1,2012-07-08,52
CA_1,2012-07-09,55
CA_1,2012-07-10,37
CA_1,2012-07-11,41
CA_1,2012-07-12,44
CA_1,2012-07-13,27
CA_1,2012-07-14,48
CA_1,2012-07-15,64
CA_1,2012-07-16,34
CA_1,2012-07-17,31
CA_1,2012-07-18,40
CA_1,2012-07-19,45
CA_1,2012-07-20,39
CA_1,2012-07-21,69
CA_1,2012-07-22,38
CA_1,2012-07-23,21
CA_1,2012-07-24,35
CA_1,2012-07-25,23
CA_1,2012-07-26,27
CA_1,2012-07-27,26
CA_1,2012-07-28,36
CA_1,2012-07-29,51
CA_1,2012-07-30,42
CA_1,2012-07-31,26
CA_1,2012-08-01,49
CA_1,2012-08-02,43
CA_1,2012-08-03,37
CA_1,2012-08-04,53
CA_1,2012-08-05,114
CA_1,2012-08-06,57
CA_1,2012-08-07,58
CA_1,2012-08-08,52
CA_1,2012-08-09,54
CA_1,2012-08-10,75
CA_1,2012-08-11,75
CA_1,2012-08-12,103
CA_1,2012-08-13,39
CA_1,2012-08-14,42
CA_1,2012-08-15,57
CA_1,2012-08-16,43
CA_1,2012-08-17,43
CA_1,2012-08-18,75
CA_1,2012-08-19,90
CA_1,2012-08-20,39
CA_1,2012-08-21,49
CA_1,2012-08-22,35
CA_1,2012-08-23,37
CA_1,2012-08-24,29
CA_1,2012-08-25,58
CA_1,2012-08-26,81
CA_1,2012-08-27,38
CA_1,2012-08-28,51
CA_1,2012-08-29,45
CA_1,2012-08-30,50
CA_1,2012-08-31,43
CA_1,2012-09-01,67
CA_1,2012-09-02,84
CA_1,2012-09-03,76
CA_1,2012-09-04,36
CA_1,2012-09-05,47
CA_1,2012-09-06,35
CA_1,2012-09-07,39
CA_1,2012-09-08,77
CA_1,2012-09-09,85
CA_1,2012-09-10,39
CA_1,2012-09-11,47
CA_1,2012-09-12,38
CA_1,2012-09-13,41
CA_1,2012-09-14,59
CA_1,2012-09-15,56
CA_1,2012-09-16,58
CA_1,2012-09-17,49
CA_1,2012-09-18,42
CA_1,2012-09-19,44
CA_1,2012-09-20,50
CA_1,2012-09-21,33
CA_1,2012-09-22,62
CA_1,2012-09-23,72
CA_1,2012-09-24,33
CA_1,2012-09-25,39
CA_1,2012-09-26,27
CA_1,2012-09-27,28
CA_1,2012-09-28,43
CA_1,2012-09-29,49
CA_1,2012-09-30,72
CA_1,2012-10-01,53
CA_1,2012-10-02,62
CA_1,2012-10-03,53
CA_1,2012-10-04,45
CA_1,2012-10-05,50
CA_1,2012-10-06,61
CA_1,2012-10-07,86
CA_1,2012-10-08,50
CA_1,2012-10-09,42
CA_1,2012-10-10,36
CA_1,2012-10-11,35
CA_1,2012-10-12,40
